URL,Name,data_provided_by,owner,Publishing Department,currentVersion,Frequency,source_link,supportedQueryFormats,fields,copyrightText,Application,definitionExpression,supportsPagination,canScaleSymbols,Source,supportsDistinct,hasLabels,supportsReturningQueryExtent,canModifyLayer,allowOthersToQuery,supportsStatistics,maxRecordCount,supportsTrueCurve,supportsOrderBy,owner_uid,supportsAdvancedQueries,supportsQueryWithDistance,useStandardizedQueries,hasM,isUnique,Department,isAscending,Contact Email,provenance,Last Update,Endpoint,Public Access Level,Geographic Coverage,Unique Identifier,Homepage,Publisher,capabilities,Theme,Issued,published_version_name,Contact Name,visits,parent_uid,effectiveMinScale,publication_stage,supportsDatumTransformation,maxScale,derived_view,description,htmlPopupType,published_version_uid,domain,geometryType,hasAttachments,public,contactemail,creation_date,license,api_endpoint,defaultVisibility,id,Spatial Reference wkid,displayField,last_update_date_data,downloads,keywords,category,minScale,type,u_id
https://data.seattle.gov/d/egc4-d24i,Road Weather Information Stations,Seattle Department of Transportation,Road Weather,,,Daily,,,,,,,,,,,,,,,,,,,cq6b-km4i,,,,,,,,,official,,,,,,,,,,,,,196197,,,published,,,false,This data is derived from sensor stations placed on bridges and surface streets within city limits.  Each station has a temperature sensor that measures the temperature of the street surface and a sensor that measures the ambient air temperature at the station each second.  Those values are averaged into temperature readings that are recorded by the station every minute.  The dataset is updated every fifteen minutes with new data.,,,data.seattle.gov,,,true,chad.lynch@seattle.gov,2014-03-04T15:24Z,Public Domain,https://data.seattle.gov/resource/egc4-d24i.json,,,,,2018-04-16T16:45Z,17578,"road,weather,street,temperature,seattle,transportation",Transportation,,dataset,egc4-d24i
https://data.seattle.gov/d/y6ef-jf2w,Sold Fleet Equipment,Department of Finance and Administrative Services,FAS - Fleet Management,,,Monthly,,,,,,,,,,,,,,,,,,,sb28-e8im,,,,,,,,,official,,,,,,,,,,,,,126219,,,published,,,false,This dataset includes sales data for fleet equipment that was sold in the current and previous two years. This dataset does not include sales data for Seattle City Light (SCL) fleet equipment.,,,data.seattle.gov,,,true,darcy.cinq-mars@seattle.gov,2014-02-06T16:40Z,Public Domain,https://data.seattle.gov/resource/y6ef-jf2w.json,,,,,2019-03-04T21:18Z,2972,"fleet,equipment,cars,trucks,auction,surplus",City Business,,dataset,y6ef-jf2w
https://data.seattle.gov/d/6gnm-7jex,Current Fleet Surplus/Auction List,Department of Finance and Administrative Services,FAS - Fleet Management,,,Monthly,,,,,,,,,,,,,,,,,,,sb28-e8im,,,,,,,,,official,,,,,,,,,,,,,121251,,,published,,,false,Most recent list of fleet equipment sent to auction,,,data.seattle.gov,,,true,FAS-FMD@Seattle.gov,2014-03-25T17:01Z,Public Domain,https://data.seattle.gov/resource/6gnm-7jex.json,,,,,2019-03-04T21:26Z,2991,"fleet,equipment,surplus,auction",Finance,,dataset,6gnm-7jex
https://data.seattle.gov/d/kzjm-xkqj,Seattle Real Time Fire 911 Calls,Seattle Fire Department,Seattle Fire Department,,,5 minutes,http://web5.seattle.gov/MNM/incidentresponse.aspx,,,,,,,,,,,,,,,,,,5rii-9ghs,,,,,,,,,official,,,,,,,,,,,,,140693,,,published,,,false,Provides Seattle Fire Department 911 dispatches. Updated every 5 minutes.,,,data.seattle.gov,,,true,,2010-01-08T21:48Z,Creative Commons 1.0 Universal (Public Domain Dedication),https://data.seattle.gov/resource/kzjm-xkqj.json,,,,,2019-03-13T16:40Z,462284,"seattle,911,fire,dispatch e911,sfd mobile",Public Safety,,dataset,kzjm-xkqj
https://data.seattle.gov/d/enxu-fgzb,Active Fleet Complement,Department of Finance and Administrative Services,FAS - Fleet Management,,,Monthly,http://www.seattle.gov,,,,,,,,,,,,,,,,,,sb28-e8im,,,,,,,,,official,,,,,,,,,,,,,14240,,,published,,,false,The City of Seattle's active fleet equipment complement is dynamic. This list is updated on a monthly basis.,,,data.seattle.gov,,,true,darcy.cinq-mars@seattle.gov,2014-02-04T22:36Z,Public Domain,https://data.seattle.gov/resource/enxu-fgzb.json,,,,,2019-03-04T21:21Z,2261,"fleet,equipment,cars,trucks",City Business,,dataset,enxu-fgzb
https://data.seattle.gov/d/3xqu-vnum,Seattle Crime Stats by Police Precinct 2008-Present,Seattle Police Department,Seattle IT,,,Monthly,http://seattle.gov/police/crime/default.htm,,,,,,,,,,,,,,,,,,pfbu-yuv5,,,,,,,,,official,,,,,,,,,,,,,30394,,,published,,,false,"Seattle Part 1 Crime stats by precinct
The precinct and beat data can be found at
http://data.seattle.gov/Government/Seattle-Police-Department-Beats/nnxn-434b",,,data.seattle.gov,,,true,mary.perry@seattle.gov,2009-11-23T20:11Z,Public Domain,https://data.seattle.gov/resource/3xqu-vnum.json,,,,,2014-07-21T21:42Z,5553,"crime,violent,seattle,police",Public Safety,,dataset,3xqu-vnum
https://data.seattle.gov/d/2fzs-85v9,Recent Fire Reports,Seattle Fire Department,Chris Metcalf,,,,http://web5.seattle.gov/MNM/incidentresponse.aspx,,,,,,,,,,,,,,,,,,i7d8-sc4w,,,,,,,,,official,,,,,,,,,,,,,32981,kzjm-xkqj,,published,,,true,,,,data.seattle.gov,,,true,,2010-07-30T18:29Z,Creative Commons 1.0 Universal (Public Domain Dedication),https://data.seattle.gov/resource/2fzs-85v9.json,,,,,2019-03-13T16:40Z,763,,Public Safety,,map view,2fzs-85v9
https://data.seattle.gov/d/9swa-y5yg,Fire Dispatch by type,Seattle Fire Department,Kevinator,,,,http://web5.seattle.gov/MNM/incidentresponse.aspx,,,,,,,,,,,,,,,,,,vyk7-k857,,,,,,,,,community,,,,,,,,,,,,,13397,kzjm-xkqj,,published,,,true,Provides previous 24 hours of Seattle Fire Department 911 dispatches.,,,data.seattle.gov,,,true,,2010-11-13T01:48Z,Creative Commons 1.0 Universal (Public Domain Dedication),https://data.seattle.gov/resource/9swa-y5yg.json,,,,,2019-03-13T16:40Z,461,"seattle,911,fire,dispatch e911",Public Safety,,chart,9swa-y5yg
https://data.seattle.gov/d/tpvk-5fr3,COBAN Logs,Seattle Police Department,spd2internetData,,,Daily,,,,,,,,,,,,,,,,,,,avyg-ej9j,,,,,,,,,official,,,,,,,,,,,,,29284,,,published,,,false,"This dataset includes Police In-Car video activities. Data shows activity of In-Car recorded video including, Officer Serial Number, Start (Date & Time) of video, post recording activity code and description. Data is refreshed on a weekly basis. Data is records of video and does not imply that there is actual playable video associated.",,,data.seattle.gov,,,true,,2015-01-10T20:19Z,,https://data.seattle.gov/resource/tpvk-5fr3.json,,,,,2018-03-28T15:30Z,7160,coban logs,Public Safety,,dataset,tpvk-5fr3
https://data.seattle.gov/d/qnjj-njdy,After 8/20,Seattle Fire Department,Sunil Garg,,,,http://web5.seattle.gov/MNM/incidentresponse.aspx,,,,,,,,,,,,,,,,,,t2qv-kvah,,,,,,,,,community,,,,,,,,,,,,,12495,kzjm-xkqj,,published,,,true,,,,data.seattle.gov,,,true,,2010-08-23T05:05Z,Creative Commons 1.0 Universal (Public Domain Dedication),https://data.seattle.gov/resource/qnjj-njdy.json,,,,,2019-03-13T16:40Z,609,,Public Safety,,map view,qnjj-njdy
