u_id,Name,visits,downloads,owner,category,data_provided_by,keywords,description,Frequency,last_update_date_data,URL,type,public,provenance,Source,source_link,creation_date,Last Update
egc4-d24i,Road Weather Information Stations,196370,17616,Road Weather,Transportation,Seattle Department of Transportation,"road,weather,street,temperature,seattle,transportation",This data is derived from sensor stations placed on bridges and surface streets within city limits.  Each station has a temperature sensor that measures the temperature of the street surface and a sensor that measures the ambient air temperature at the station each second.  Those values are averaged into temperature readings that are recorded by the station every minute.  The dataset is updated every fifteen minutes with new data.,Daily,04/16/2018 04:45:00 PM,https://data.seattle.gov/d/egc4-d24i,dataset,True,official,,,03/04/2014 03:24:00 PM,
y6ef-jf2w,Sold Fleet Equipment,127665,3000,FAS - Fleet Management,City Business,Department of Finance and Administrative Services,"fleet,equipment,cars,trucks,auction,surplus",This dataset includes sales data for fleet equipment that was sold in the current and previous two years. This dataset does not include sales data for Seattle City Light (SCL) fleet equipment.,Monthly,03/04/2019 09:18:00 PM,https://data.seattle.gov/d/y6ef-jf2w,dataset,True,official,,,02/06/2014 04:40:00 PM,
6gnm-7jex,Current Fleet Surplus/Auction List,122825,3031,FAS - Fleet Management,Finance,Department of Finance and Administrative Services,"fleet,equipment,surplus,auction",Most recent list of fleet equipment sent to auction,Monthly,03/04/2019 09:26:00 PM,https://data.seattle.gov/d/6gnm-7jex,dataset,True,official,,,03/25/2014 05:01:00 PM,
kzjm-xkqj,Seattle Real Time Fire 911 Calls,142281,462890,Seattle Fire Department,Public Safety,Seattle Fire Department,"seattle,911,fire,dispatch e911,sfd mobile",Provides Seattle Fire Department 911 dispatches. Updated every 5 minutes.,5 minutes,04/03/2019 03:28:00 AM,https://data.seattle.gov/d/kzjm-xkqj,dataset,True,official,,http://web5.seattle.gov/MNM/incidentresponse.aspx,01/08/2010 09:48:00 PM,
3xqu-vnum,Seattle Crime Stats by Police Precinct 2008-Present,30966,5607,"8059 Vonaschen-Cook, Miriam Z.",Public Safety,Seattle Police Department,"crime,violent,seattle,police","Seattle Part 1 Crime stats by precinct
The precinct and beat data can be found at
http://data.seattle.gov/Government/Seattle-Police-Department-Beats/nnxn-434b",Monthly,07/21/2014 09:42:00 PM,https://data.seattle.gov/d/3xqu-vnum,dataset,True,official,,http://seattle.gov/police/crime/default.htm,11/23/2009 08:11:00 PM,
tpvk-5fr3,COBAN Logs,29447,7161,spd2internetData,Public Safety,Seattle Police Department,coban logs,"This dataset includes Police In-Car video activities. Data shows activity of In-Car recorded video including, Officer Serial Number, Start (Date & Time) of video, post recording activity code and description. Data is refreshed on a weekly basis. Data is records of video and does not imply that there is actual playable video associated.",Daily,03/28/2018 03:30:00 PM,https://data.seattle.gov/d/tpvk-5fr3,dataset,True,official,,,01/10/2015 08:19:00 PM,
e3zj-s4zh,Seattle Crime Stats by 1990 Census Tract 1996-2007,10939,3039,Seattle IT,Public Safety,Seattle Information Technology,"crime,violent,seattle",Violent Part 1 crime statistics by 1990 census tract.,To Be Determined,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/e3zj-s4zh,dataset,True,official,,,11/23/2009 08:07:00 PM,
enxu-fgzb,Active Fleet Complement,14370,2281,FAS - Fleet Management,City Business,Department of Finance and Administrative Services,"fleet,equipment,cars,trucks",The City of Seattle's active fleet equipment complement is dynamic. This list is updated on a monthly basis.,Monthly,03/04/2019 09:21:00 PM,https://data.seattle.gov/d/enxu-fgzb,dataset,True,official,,http://www.seattle.gov,02/04/2014 10:36:00 PM,
65db-xm6k,Fremont Bridge Hourly Bicycle Counts by Month October 2012 to present,16706,20841,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"bicycle,traffic,fremont,seattle,counts,bike counts,bike","The Fremont Bridge Bicycle Counter records the number of bikes that cross the bridge using the pedestrian/bicycle pathways. Inductive loops on the east and west pathways count the passing of bicycles regardless of travel direction. The data consists of a date/time field: Date, east pathway count field: Fremont Bridge NB,  and west pathway count field: Fremont Bridge SB. The count fields represent the total bicycles detected during the specified one hour period. Direction of travel is not specified, but in general most traffic in the Fremont Bridge NB field is travelling northbound and most traffic in the Fremont Bridge SB field is travelling southbound.",Other,04/02/2019 08:29:00 PM,https://data.seattle.gov/d/65db-xm6k,dataset,True,official,,,03/14/2013 07:37:00 PM,
rk6r-ehyv,Notice of Medallion Transfers,12992,4876,"Consumer Protection Unit, FAS",City Business,Department of Finance and Administrative Services,"taxi,medallion,for-hire,tnc",This data set includes all transfer dates and values of taxicab and for-hire vehicle medallions.,To Be Determined,04/01/2019 08:34:00 PM,https://data.seattle.gov/d/rk6r-ehyv,dataset,True,official,,,03/23/2015 08:17:00 PM,
