name,type,variable_description,variable,value,annotation,year,date,geography_id,change_rate
"Aguila CDP, Arizona",place,Median Household Income,B19013_001E,33125.0,,2011,2011-12-31,1600000US0400730,
"Ajo CDP, Arizona",place,Median Household Income,B19013_001E,25181.0,,2011,2011-12-31,1600000US0400870,
"Ak Chin CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0400940,
"Ak-Chin Village CDP, Arizona",place,Median Household Income,B19013_001E,33083.0,,2011,2011-12-31,1600000US0401090,
"Alamo Lake CDP, Arizona",place,Median Household Income,B19013_001E,35938.0,,2011,2011-12-31,1600000US0401170,
"Ali Chuk CDP, Arizona",place,Median Household Income,B19013_001E,16964.0,,2011,2011-12-31,1600000US0401560,
"Ali Chukson CDP, Arizona",place,Median Household Income,B19013_001E,10658.0,,2011,2011-12-31,1600000US0401570,
"Ali Molina CDP, Arizona",place,Median Household Income,B19013_001E,2499.0,,2011,2011-12-31,1600000US0401620,
"Alpine CDP, Arizona",place,Median Household Income,B19013_001E,52969.0,,2011,2011-12-31,1600000US0401920,
"Amado CDP, Arizona",place,Median Household Income,B19013_001E,73125.0,,2011,2011-12-31,1600000US0401990,
"Anegam CDP, Arizona",place,Median Household Income,B19013_001E,9125.0,,2011,2011-12-31,1600000US0402270,
"Antares CDP, Arizona",place,Median Household Income,B19013_001E,16250.0,,2011,2011-12-31,1600000US0402410,
"Anthem CDP, Arizona",place,Median Household Income,B19013_001E,81352.0,,2011,2011-12-31,1600000US0402430,
"Apache Junction city, Arizona",place,Median Household Income,B19013_001E,40010.0,,2011,2011-12-31,1600000US0402830,
"Arivaca CDP, Arizona",place,Median Household Income,B19013_001E,35043.0,,2011,2011-12-31,1600000US0403320,
"Arivaca Junction CDP, Arizona",place,Median Household Income,B19013_001E,42716.0,,2011,2011-12-31,1600000US0403380,
"Arizona City CDP, Arizona",place,Median Household Income,B19013_001E,42282.0,,2011,2011-12-31,1600000US0403530,
"Arizona Village CDP, Arizona",place,Median Household Income,B19013_001E,30208.0,,2011,2011-12-31,1600000US0403915,
"Arlington CDP, Arizona",place,Median Household Income,B19013_001E,34250.0,,2011,2011-12-31,1600000US0404020,
"Ash Fork CDP, Arizona",place,Median Household Income,B19013_001E,23125.0,,2011,2011-12-31,1600000US0404440,
"Avenue B and C CDP, Arizona",place,Median Household Income,B19013_001E,28349.0,,2011,2011-12-31,1600000US0404710,
"Avondale city, Arizona",place,Median Household Income,B19013_001E,59953.0,,2011,2011-12-31,1600000US0404720,
"Avra Valley CDP, Arizona",place,Median Household Income,B19013_001E,47188.0,,2011,2011-12-31,1600000US0404880,
"Aztec CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0404930,
"Bagdad CDP, Arizona",place,Median Household Income,B19013_001E,58417.0,,2011,2011-12-31,1600000US0405140,
"Bear Flat CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0405450,
"Beaver Dam CDP, Arizona",place,Median Household Income,B19013_001E,26641.0,,2011,2011-12-31,1600000US0405490,
"Beaver Valley CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0405495,
"Benson city, Arizona",place,Median Household Income,B19013_001E,36278.0,,2011,2011-12-31,1600000US0405770,
